parliament:100	sumedha-g-jayasena
parliament:101	karu-jayasuriya
parliament:102	m-s-thowfeek
parliament:103	dayasritha-thissera
parliament:104	janaka-bandara-thennakoon
parliament:105	somakumari-tennakoon
parliament:106	arumugan-thondaman
parliament:107	ronald-joseph-godfrey-de-mel
parliament:108	nimal-siripala-de-silva
parliament:109	tudor-dayaratna
parliament:110	p-dayaratna
parliament:111	dasanayaka-mudiyanselage-dasanayaka
parliament:112	anura-kumara-dissanayake
parliament:113	navin-dissanayake
parliament:114	s-b-dissanayake
parliament:115	salinda-dissanayake
parliament:116	douglas-devananda
parliament:117	amarasiri-dodangoda
parliament:118	hemakumara-nanayakkara
parliament:119	s-b-nawinne
parliament:120	h-g-p-nelson
parliament:121	pararajasingham-joseph
parliament:122	a-h-m-fowzie
parliament:123	g-l-peiris
parliament:124	susantha-punchinilame
parliament:1242	k-thurairetnasingam
parliament:1244	ranil-wickremesinghe
parliament:1245	anura-priyadharshie-soloman-dias-bandaranaike
parliament:1246	tissa-attanayake
parliament:1247	amirthanathan-adaikkalanathan
parliament:1248	a-l-m-athaullah
parliament:125	gamini-jayawickrama-perera
parliament:127	m-joseph-michael-perera
parliament:128	dilan-perera
parliament:129	neomal-perera
parliament:130	felix-perera
parliament:131	kanahela-bandaralage-lilantha-perera
parliament:132	jayatilake-podinilame
parliament:133	johnston-fernando
parliament:134	tyronne-lyle-delano-fernando
parliament:135	milroy-fernando
parliament:136	jeyaraj-fernandopulle
parliament:137	bharatha-lakshman-premachandra
parliament:138	susil-premajayantha
parliament:139	a-d-premadasa
parliament:140	sajith-premadasa
parliament:1418	lakshman-nipuna-arachchi
parliament:1419	uduwe-dhammaloka-thero
parliament:142	palitha-range-bandara
parliament:1420	kotapola-amarakitti-thero
parliament:1421	kathaluwe-rathanaseeha-thero-thero
parliament:1422	s-amarasinghe
parliament:1423	lasantha-alagiyawanna
parliament:1424	sripathi-sooriyaarachchi
parliament:1425	kolonnawe-siri-sumangala-thero
parliament:1426	aparekke-punnananda-thero
parliament:1429	piyasiri-wijenayake
parliament:143	indika-bandaranayake
parliament:1430	jayasiri-sarath-kumara-ranawaka
parliament:1431	athuraliye-rathana-thero
parliament:1432	faiszer-musthapha
parliament:1433	udawatte-nanda-thero
parliament:1434	mudiyanselage-nawaratna-banda-yapa
parliament:1435	sujatha-alahakoon
parliament:1436	rohana-dissanayaka
parliament:1437	s-jegadheeswaran
parliament:1438	n-d-n-p-jayasinghe
parliament:1439	ajith-kumara
parliament:144	c-p-d-bandaranaike
parliament:1440	thilakaratne-withanachchi
parliament:1441	gunaratne-weerakoon
parliament:1442	lionel-premasiri
parliament:1443	pemasiri-manage
parliament:1444	chandrasiri-gajadeera
parliament:1445	vijitha-ranaweera
parliament:1446	selvarajah-kajendren
parliament:1447	padmini-sidambaranathan
parliament:1448	kandiah-premachandran
parliament:1449	k-sivanesan
parliament:145	imthiaz-bakeer-markar
parliament:1451	s-kanagaratnam
parliament:1452	s-noharathalingam
parliament:1454	sivanathan-kissor
parliament:1455	thanmanpillai-kanagasabai
parliament:1456	k-thangeswary
parliament:1457	senathirajah-jeyanandamoorthy
parliament:1458	kingsley-rajanayagam
parliament:1459	ameer-ali-shihabdeen
parliament:146	rohitha-bogollagama
parliament:1460	l-g-wasantha-piyatissa
parliament:1461	faizal-cassim
parliament:1462	kanagasabai-pathmanathan
parliament:1463	mohamed-najeeb-abdul-majeed
parliament:1464	jayantha-wijesekara
parliament:1465	namal-karunaratne
parliament:1466	bandula-basnayake
parliament:1467	akila-viraj-kariyawasam
parliament:1468	dayasiri-jayasekara
parliament:1469	weerakumara-dissanayake
parliament:1470	samansiri-herath
parliament:1471	r-p-a-ranaweera-pathirana
parliament:1473	siripala-gamalath
parliament:1474	c-a-suriyaarachchi
parliament:1475	m-satchithanandan
parliament:1476	vadivel-suresh
parliament:1477	k-v-samantha-viddyarathna
parliament:1478	padma-udhayashantha-gunasekera
parliament:1479	r-m-dharmadasa-banda
parliament:148	r-m-ranjith-madduma-bandara
parliament:1480	deepal-gunasekara
parliament:1481	jayatissa-ranaweera
parliament:1482	thalatha-athukorala
parliament:1483	dunesh-gankanda
parliament:1484	anuruddha-polgampala
parliament:1485	mano-wijeyeratne
parliament:1486	w-a-wiswa-warnapala
parliament:1487	dew-gunasekara
parliament:1488	tissa-vitarana
parliament:149	s-a-r-maddumabandara
parliament:1491	gitanjana-gunawardena
parliament:1492	janadasa-peiris
parliament:1493	d-c-weerasekera
parliament:1495	wasantha-samarasinghe
parliament:1496	j-a-mary-lucida
parliament:1497	ellawala-medhananda-thero
parliament:1498	omalpe-sobhitha-thero
parliament:1499	seyed-ali-zahir-moulana
parliament:150	noordeen-mashoor
parliament:1501	m-s-sellasamy
parliament:1503	m-t-hasen-ali
parliament:1504	w-p-s-pushpakumara
parliament:1505	hussain-ahamed-bhaila
parliament:1506	manicavasagar-kanagasabapathy-eelaventhan
parliament:1507	ismail-mohamed-quddus
parliament:1508	abdul-baiz-kamardeen
parliament:151	m-mahroof
parliament:1510	pathmini-sithamparanathan
parliament:1513	philips-kumarasinghe-sri-liyanage
parliament:1518	mervyn-silva
parliament:1519	p-ariyanethran
parliament:152	abdullah-mahrooff
parliament:1521	wijeyadasa-rajapakshe
parliament:1523	akmeemana-thero-dayarathana-thero
parliament:1528	nirmala-kotalawala
parliament:1529	h-r-mithrapala
parliament:1537	s-nijamudeen
parliament:1539	mohomad-muzammil
parliament:154	thiagarajah-maheswaran
parliament:1541	alawwe-thero-nandaloka-thero
parliament:155	tilak-marapana
parliament:1558	sarath-kumara-gunaratne
parliament:1559	mervyn-d-de-silva
parliament:156	asoka-milinda-moragoda
parliament:1569	chandrakanthan-chandranehru
parliament:157	m-h-mohamed
parliament:1575	basil-rohana-rajapaksa
parliament:1577	mohomed-shafeak-rajabdeen
parliament:1578	rasin-mohamed-iman
parliament:1579	piyankara-jayaratne
parliament:158	anura-priyadharshana-yapa
parliament:1580	a-m-m-naushaad
parliament:1581	soloman-s-cyril
parliament:1583	duleep-wijesekera
parliament:1585	lalith-dissanayake
parliament:1586	vinayagamoorthi-muralidaran
parliament:159	mahinda-ratnatilaka
parliament:1590	chandima-weerakkody
parliament:1591	thomas-thangathurai-william
parliament:160	amara-piyaseeli-ratnayake
parliament:161	bimal-rathnayake
parliament:162	sagala-ratnayaka
parliament:163	general-anuruddha-ratwatte
parliament:164	ravindra-samaraweera
parliament:165	reggie-ranatunga
parliament:166	keheliya-rambukwella
parliament:168	chamal-rajapaksa
parliament:169	mahinda-rajapaksa
parliament:170	suranimal-rajapaksa
parliament:171	don-jayawickramage-neil-rupasinghe
parliament:172	gamini-lokuge
parliament:173	wijesinghe-jayaweera-mudiyanselage-lokubandara
parliament:174	pavithradevi-wanniarachchi
parliament:175	ratnasiri-wickramanayaka
parliament:176	jayasundara-wijekoon
parliament:177	mahinda-wijesekara
parliament:180	wimal-weerawansa
parliament:181	dilip-wedaarachchi
parliament:182	kumara-welgama
parliament:184	s-sathasivam
parliament:185	upali-delton-samaraweera
parliament:186	mangala-samaraweera
parliament:188	mahinda-samarasinghe
parliament:189	ranjith-siyambalapitiya
parliament:190	r-a-d-sirisena
parliament:191	maithreepala-sirisena
parliament:192	muthu-sivalingam
parliament:193	athauda-seneviratne
parliament:194	w-d-j-seneviratne
parliament:195	lakshman-senewiratne
parliament:196	mavai-s-senathirajah
parliament:197	rukman-senanayake
parliament:198	rajitha-senarathne
parliament:199	wijith-wijayamuni-zoysa
parliament:200	rauff-hakeem
parliament:2001	mohamed-falil-abdul-caffoor
parliament:2002	kudhoos-khan-abdul-jabbar
parliament:2003	abdul-latiff-abdul-majeed
parliament:2004	mohamedali-ahamed-abdul-majeed
parliament:2005	mohamed-ismailebbe-mohamed-abdul-majeed
parliament:2006	edwin-wilfred-abeyagoonasekera
parliament:2007	george-hector-abeyagoonasekera
parliament:2008	dilshad-rohan-tissa-abeygunasekera
parliament:2009	wijesekera-don-simon-abeygoonawardana
parliament:201	sunil-handunnetti
parliament:2010	henry-dias-abeygoonewardane
parliament:2011	ratnayake-mudiyanselage-abeykoon
parliament:2012	herat-banda-abeyratne
parliament:2015	mohamed-jabir-abdul-cader
parliament:2016	seid-ahamed-abdul-majeed
parliament:2017	harry-abeydeera
parliament:2018	abeykoon-mudiyanselage-mahinda-abeykoon
parliament:2019	kapil-abeyratne
parliament:202	p-harrison
parliament:2020	lloyd-oscar-abeyratne
parliament:2022	alexander-nicholas-de-abrew-abeysinghe
parliament:2023	gemunu-abeysundera
parliament:2024	sunil-subasiri-abeysundera
parliament:2026	sumitha-priyangeni-abeyweera
parliament:2027	henry-abeywickrema
parliament:2028	keerthilatha-premawathie-abeywickrema
parliament:2029	keerthisena-chandradasa-abeywickrema
parliament:203	jayarathna-herath
parliament:2030	simon-abeywickrema
parliament:2031	sumanadasa-abeywickrema
parliament:2032	kusala-vichitra-abhayavardhana
parliament:2033	mohamed-lebbe-marikkar-aboosally
parliament:2034	sellathurai-sundaramoorthy-mohamed-alhaj-abu-bakr
parliament:2035	abdul-razak-alim-mohamed-abubucker
parliament:2036	adikari-mudiyanselage-appuhamy-adikari
parliament:2037	adikari-mudiyanselage-somapala-adikari
parliament:2038	janak-mahendra-adikari
parliament:2039	thambiah-ahambaram
parliament:204	mahiepala-herath
parliament:2040	mohamed-cassim-ahamed
parliament:2041	meera-lebbe-ahamed-fareeth
parliament:2042	sepala-akurugoda
parliament:2043	arumugam-murugesu-alaalasuntharam
parliament:2044	somaweera-wijesinghe-alawathuwala
parliament:2045	norman-charles-alcock
parliament:2046	vraspillai-albert-alegacone
parliament:2047	meetalawe-simon-aluthgamage
parliament:2048	udawalawwe-bernard-herbert-aluvihare
parliament:205	vijitha-herath
parliament:2050	matarage-sirisena-amarasiri
parliament:2051	matharage-upali-sarath-dunstan-amarasiri
parliament:2052	henry-woodward-amarasuriya
parliament:2053	thomas-amarasuriya
parliament:2055	appapillai-amirthalingam
parliament:2056	mohamed-hassim-amit
parliament:2057	seemanpillai-mudaliyar-anantham
parliament:2059	veloo-annamalay
parliament:2060	ratnayake-mudiyanselage-appuhamy
parliament:2062	don-sugathadasa-de-silva-arambewala
parliament:2063	dissanayake-mudiyanselage-ariyadasa
parliament:2064	weligama-polwatta-galappathige-ariyadasa
parliament:2065	dissanayake-mudiyanselage-ariyaratne
parliament:2066	piyadigamage-gamini-ariyatilleke
parliament:2067	chinnaiah-arulampalam
parliament:2068	seinudin-marikkar-asenkudhoos
parliament:2069	mohamed-hussein-mohamed-ashraff
parliament:2070	don-peter-atapattu
parliament:2071	ranjith-kaniska-parakrama-atapattu
parliament:2072	don-daniel-athulathmudali
parliament:2073	lalith-william-athulathmudali
parliament:2075	attanayake-mudiyanselage-rambanda-attanayake
parliament:2076	athula-kularatne-attygalle
parliament:2077	cyril-eugene-attygalle
parliament:2078	dhanapala-piyadasa-attygalle
parliament:2079	dharmasena-attygalle
parliament:2080	gamini-atukorale
parliament:2081	abdul-aziz
parliament:2083	nihal-yasendra-bakmeewewa
parliament:2084	tissa-reginald-balalle
parliament:2085	murugesu-balasunderam
parliament:2086	jagath-balasuriya
parliament:2087	balasuriya-arachchige-punchi-banda-balasuriya
parliament:2088	mutu-banda-bambarapane
parliament:2089	konara-mudiyanselage-wattegedera-kiri-banda
parliament:2090	mohottalage-dingiri-banda
parliament:2091	weerakoon-mudiyanselagedera-kumbure-gedera-tikir-banda
parliament:2092	bamunusinghe-arachchige-heen-bandara
parliament:2093	dissanayake-mudiyanselage-tilakaratna-bandara
parliament:2094	kulatunga-dissanayake-mudiyanselage-chandrasoma-bandara
parliament:2095	ratnayake-mudiyanselage-bandara
parliament:2096	felix-reginald-dias-bandaranaike
parliament:2098	sirima-ratwatte-dias-bandaranaike
parliament:2099	solomon-west-ridgeway-dias-bandaranaike
parliament:2100	bandaranayake-mudiyanselage-punchi-banda-bandaranayake
parliament:2102	ratnasekera-ralahamilage-dias-bandaranayake
parliament:2103	samuel-dias-bandaranayake
parliament:2104	azeez-basheer-ameer
parliament:2105	basnayake-appuhamilage-abraham-tissera-basnayake
parliament:2106	anura-bastian
parliament:2107	charles-batuwantudawe
parliament:2108	upali-batuwantudawe
parliament:2109	pussewela-liyanage-bauddhasara
parliament:2110	ratnayake-mudiyanselage-chandrasena-ratnayake-beligammana
parliament:2111	clement-johnston-black
parliament:2112	eric-stanley-brohier
parliament:2113	n-m-buhardeen
parliament:2114	punchi-banda-bulankulame
parliament:2115	thiagarasa-buvanasunthararajah
parliament:2116	ibrahim-adaham-abdul-cader
parliament:2117	mylvaganam-canagaratnam
parliament:2118	sinnakutty-odayar-canagaratnam
parliament:2119	thomas-vernon-koertsz-carron
parliament:2120	maurice-john-cary
parliament:2121	prince-gunarasa-casinader
parliament:2122	debahepuwe-mudiyanselage-chandrapala
parliament:2123	somaweera-chandrasiri
parliament:2124	samuel-james-velupillai-chelvanayakam
parliament:2126	robert-gorton-coombe
parliament:2127	bulathsinhalage-sirisena-cooray
parliament:2128	mannamarakkalage-mervyn-joseph-cooray
parliament:2129	pesteruweliyanarallage-andrew-cooray
parliament:213	lakshman-yapa-abeywardena
parliament:2130	edward-abraham-cooray
parliament:2131	george-claude-stanley-corea
parliament:2132	mohamed-abdul-bakeer-markar
parliament:2133	srikumaradasa-charles-shirley-corea
parliament:2134	patabendi-madduma-baduge-cyril
parliament:2135	wijayananda-dahanayake
parliament:2136	wijesekara-sumanapala-dahanayake
parliament:2137	mahahitana-arachchige-daniel
parliament:2138	mahahitana-arachchige-rupa-sriyani-daniel
parliament:2139	k-h-w-somasara-dassanayaka
parliament:2140	dassanayake-mudiyanselage-ananda-dassanayake
parliament:2141	dassanayake-mudiyanselage-loku-banda-dassanayake
parliament:2142	hewananarachchige-ivan-tiddy-dassanayake
parliament:2143	upali-mervyn-senarath-dassanayake
parliament:2144	stephen-william-dassenaike
parliament:2146	maha-amarasinghage-anandatissa-de-alwis
parliament:2147	william-neal-de-alwis
parliament:2148	kalutarawedage-deepal-susantha-de-fonseka
parliament:2149	henry-lawson-de-mel
parliament:215	duminda-dissanayake
parliament:2150	hugh-edmund-peter-de-mel
parliament:2151	reginald-abraham-de-mel
parliament:2153	vidanalage-wimalasiri-premanatha-de-mel
parliament:2154	arthur-hubert-de-silva
parliament:2155	charles-edward-perry-de-silva
parliament:2156	charles-percival-de-silva
parliament:2157	colvin-reginald-de-silva
parliament:2158	dangedera-gamage-albert-de-silva
parliament:2159	edmund-fredrick-lorenz-de-silva
parliament:216	richard-pathirana
parliament:2160	george-edmund-de-silva
parliament:2161	george-reginald-de-silva
parliament:2162	gonapeenuwala-vithanage-sirisena-de-silva
parliament:2163	hettihewage-chandraman-de-silva
parliament:2164	kutti-chulananda-de-silva
parliament:2165	lokuge-chandradasa-de-silva
parliament:2166	makalandage-joseph-de-silva
parliament:2167	manikka-wadu-richard-de-silva
parliament:2168	merril-vernon-de-silva
parliament:2171	peduru-hewa-william-de-silva
parliament:2172	pettagan-dedreck-weerasingha-de-silva
parliament:2173	ruwanpura-lakshman-de-silva
parliament:2174	walinetti-danister-de-silva
parliament:2175	walwin-arnold-de-silva
parliament:2176	wilmot-arthur-de-silva
parliament:2177	agampodi-paulus-de-zoysa
parliament:2178	erathnawalli-indrasena-de-zoysa
parliament:2179	francis-de-zoysa
parliament:218	arjuna-ranatunga
parliament:2180	garumuni-arthur-wickremaratne-de-zoysa
parliament:2181	garumuni-robert-de-zoysa
parliament:2182	damuni-ian-aloysious-de-zoysa
parliament:2183	manameldura-piyadasa-de-zoysa
parliament:2184	rannulu-nandimitthra-g-de-zoysa
parliament:2185	stanley-de-zoysa
parliament:2186	wijetunga-mudiyanse-ralahamilage-sirisena-bandara-delungahawatta
parliament:2187	kanapathipillai-william-devanayagam
parliament:2188	periannan-pillai-devaraj
parliament:2190	viswanathar-dharmalingam
parliament:2191	candauda-arachchige-dharmapala
parliament:2192	sabapathipillai-dharmaratnam
parliament:2193	wendakoon-mudiyanselage-sujatha-kanthimathie-dharmawardana
parliament:2194	don-vincent-dias
parliament:2195	edmund-bernard-dimbulane
parliament:2196	berty-premalal-dissanayake
parliament:2197	dissanayake-mudiyanselage-andrew-dissanayake
parliament:2199	henry-william-dissanayake
parliament:2200	jayasinghe-muhandiram-donald-dissanayake
parliament:2201	lionel-gamini-dissanayake
parliament:2202	mudiyansege-suddahamy-dissanayake
parliament:2203	upali-navaratne-bandara-dissanayake
parliament:2204	weerasuriya-dissanayake-mudiyanselage-punchi-banda-dissanayake
parliament:2206	mohamed-purvis-ahaman
parliament:2207	tikiribanda-harindranath-dunuwille
parliament:2208	waitialingam-duraiswamy
parliament:2209	alfred-thangarajah-durayappah
parliament:221	karunamuni-lalin-olitha-de-silva-premathiratnae
parliament:2210	meerakkuddy-mohamed-ebrahim
parliament:2211	charles-francis-warnakula-edirisuriya
parliament:2212	tennyson-edirisuriya
parliament:2213	madurapala-ediriweera
parliament:2214	appuhamige-dingiri-banda-ekanayake
parliament:2215	ekanayake-mudiyanselage-herath-banda-ekanayake
parliament:2216	nandimithra-ekanayake
parliament:2217	ekanayake-mudiyanselage-ran-banda-ekanayake
parliament:2218	ekanayake-mudiyanselage-sudu-bandara-ekanayake
parliament:2219	karapperu-wijetunge-rajapakse-mudiyansele-ekanayake
parliament:2220	nanda-sydney-ellawala
parliament:2221	anthony-emmanuel-silva
parliament:2222	somasunderam-udayar-ethirmanasingham
parliament:2223	razik-fareed
parliament:2224	unus-lebbe-mohamed-farook
parliament:2225	abdy-fellows-gorden
parliament:2226	andige-jinadasa-fernando
parliament:2227	hector-hieronymus-fernando
parliament:2228	merennage-maurice-ruskin-fernando
parliament:2229	mihindukulasuriya-julian-joseph-fernando
parliament:2230	nicholas-denzil-fernando
parliament:2231	sirikkaththuge-neville-arthur-fernando
parliament:2232	thanthulage-william-fernando
parliament:2233	weerahennedige-theodore-wilfred-meryl-fernando
parliament:2234	thomas-quentin-fernando
parliament:2237	warnakulasuriya-ichchampullige-hugh-fernando
parliament:2238	warushahennedige-leo-fernando
parliament:2239	wattage-ithalis-fernando
parliament:224	a-a-wijethunga
parliament:2241	gamini-fonseka
parliament:2242	gampolage-pathmin-fonseka
parliament:2243	hewafonsekage-augusteenu-fonseka
parliament:2244	wanniarachchige-martinus-bibile-fonseka
parliament:2245	oswald-boyd-forbes
parliament:2246	thomaratne-don-franciscu
parliament:2247	herbert-rayner-freeman
parliament:2248	reginald-percy-gaddum
parliament:2249	ahangama-polwatte-chandradasa-galappatthy
parliament:225	premalal-jayasekara
parliament:2250	peter-silva-loku-galappatthy
parliament:2253	poopalapillai-ganeshalingam
parliament:2254	muhandiramalage-chandrasekera-gankanda
parliament:2255	joseph-isaac-gnanamuttu
parliament:2256	sirimevan-godage
parliament:2257	kodituwakku-don-goonaratna
parliament:2258	alexander-ekanayake-goonasinha
parliament:2259	clement-victor-gooneratne
parliament:226	achala-jagodage
parliament:2260	don-samuel-goonesekara
parliament:2261	henry-abeywickrema-goonesekera
parliament:2262	cholmondeley-de-fonseka-goonewardene
parliament:2263	leslie-simon-goonawardene
parliament:2264	violet-vivienne-goonewardene
parliament:2265	moithra-cudabanda-monty-gopallawa
parliament:2266	edward-fredrick-noel-gratiae
parliament:2267	francis-huntly-griffith
parliament:2268	alahipody-gunaseelan
parliament:227	thambirajah-thangavadivel
parliament:2270	daniel-dias-gunasekera
parliament:2271	dissanayake-mudiyanselage-gunasekera
parliament:2273	gamage-don-premaratne-gunasekera
parliament:2274	handapangoda-mudalige-chandrapala-gunasekera
parliament:2275	jayalathge-gnanasekera-gunasekera
parliament:2276	lionel-de-silva-abeyweera-gunasekera
parliament:2277	mahen-gunasekera
parliament:2278	kanapathipillai-srinivasan
parliament:2279	prins-gunasekera
parliament:228	m-l-a-m-hizbullah
parliament:2280	ranasinghe-hettiarachchige-tudor-edward-r-gunasekera
parliament:2281	ratnayake-mudiyanselage-gunasekera
parliament:2282	senerath-gunesekera-vidaneralalage-bennet-dias-gunasekera
parliament:2283	suneetha-lakshman-gunasekera
parliament:2284	metsiyage-don-ariyapala-gunathilaka
parliament:2286	chandrakumara-wijeya-gunawardane
parliament:2288	don-benjamin-rupasinghe-robert-gunawardena
parliament:2289	don-philip-rupasinghe-gunawardena
parliament:229	anura-sidney-jayarathne
parliament:2291	kusumasiri-gunawardena
parliament:2293	ratnakirti-senarat-serasinghe-gunawardena
parliament:2294	abdul-cader-shahul-hameed
parliament:2295	anura-pradeep-hapangama
parliament:2296	muramudali-arachchilage-piyadasa-harischandra
parliament:2297	heenmahathmaya-udagama-liyanage
parliament:2298	kalyanaratne-hemachandra
parliament:2299	james-edward-harold-herath
parliament:230	thewarapperuma-arachchilage-karunasinghe-thewarapperuma
parliament:2300	renuka-herath
parliament:2301	herath-mudiyanselage-tilakaratna-banda-herath
parliament:2302	maitripala-herath
parliament:2303	kalukumara-wanninayake-range-bandaralage-kavisena-herath
parliament:2304	sivuratne-yapabandara-semasinghe-bandara-herath
parliament:2305	tikiri-banda-mudiyanselage-herath
parliament:2306	sirisena-bandara-herath
parliament:2307	wannihamy-yasapala-herath
parliament:2308	don-frank-hettiarachchi
parliament:2309	indradasa-hettiarachchi
parliament:231	d-d-w-wickramaratna
parliament:2310	sirisena-hettige
parliament:2311	neil-hewavitarane
parliament:2312	raja-hewavitarane
parliament:2314	louis-lucien-hunter
parliament:2315	edwin-loku-bandara-hurulle
parliament:2316	themiya-loku-bandara-hurulle
parliament:2317	christoffel-panini-ilangakoon
parliament:2318	tamara-kumari-ilangaratne
parliament:2319	tikiri-bandara-ilangaratne
parliament:2320	john-herbert-ilangatileke
parliament:2321	prema-chandra-imbulana
parliament:2323	imiya-mudiyanselage-raphael-abhayawansa-iriyagolle
parliament:2324	mohamed-haleem-ishak
parliament:2325	hameed-hussain-sheikh-ismail
parliament:2326	saiffudeen-ibrahim-jafferjee
parliament:2327	maduwa-hewa-kusumachandra-jagathsena
parliament:2328	mohamed-aliyar-mohamed-jalaldeen
parliament:2329	tuan-brahanudeen-dr-al-haj-jayah
parliament:233	ananda-ratnayake
parliament:2330	lakshman-jayakody
parliament:2331	jayakody-arachchige-don-sunil-ranjan-jayakody
parliament:2332	kamalawarna-kumarsinghe-jayakody
parliament:2333	percy-chandrasoma-jayakody
parliament:2335	silva-dedimuni-robert-jayaratne
parliament:2336	loku-balasuriyage-jayasena
parliament:2338	appuhamilage-ariyawansa-ellakkala-jayasinghe
parliament:2339	dharmadeva-jayasinghe
parliament:234	rohitha-abeygunawardhana
parliament:2340	donald-shelton-jayasinghe
parliament:2341	nanayakkara-atulugamage-stephen-de-silva-jayasinghe
parliament:2342	yakupitiye-gunatilleke-jayasinghe
parliament:2343	alexander-perera-jayasooriya
parliament:2344	tikiri-banda-jayasundera
parliament:2345	wilfred-hector-de-silva-jayasundera
parliament:2346	arachchige-don-pantalion-jayasuriya
parliament:2347	bernard-jayasuriya
parliament:2348	bonnie-jayasuriya
parliament:2349	gamani-nanda-jayasuriya
parliament:2350	don-baron-jayatilaka
parliament:2351	robert-edward-jayatilaka
parliament:2352	jayatilleke-hitihamy-appuhamilage-ariyaratne-jayatilleke
parliament:2353	lionel-jayatilleke
parliament:2354	mahabalage-don-henry-jayawardane
parliament:2355	theodore-godfrey-jayawardana
parliament:2356	attanayake-mudiyanselage-jayawardena
parliament:2357	paulis-peiris-jayawardena
parliament:2358	vincent-jayawardena
parliament:2359	dunuville-herbert-jayawickreme
parliament:2360	walter-geofferey-montague-jayawickreme
parliament:2361	mohandirange-don-simon-jayewardena
parliament:2362	junius-richard-jayewardene
parliament:2363	theodore-frederick-jayewardene
parliament:2364	kandappa-jeyakkody
parliament:2365	adikari-mudiyanselage-jinadasa
parliament:2366	pilane-lokuge-jinadasa
parliament:2367	sooriyasena-jinadasa
parliament:2368	udagama-pahala-yamanelegedera-jinadasa
parliament:2369	vidana-gamage-jinadasa
parliament:2370	lankabaranage-bopal-sudhira-jinasena
parliament:2371	vernon-jonklaas
parliament:2372	madduma-patabendige-jotipala
parliament:2373	robert-bruce-kadramer
parliament:2374	velauthan-kailayapillai
parliament:2376	mohamed-cassim-mohamed-kaleel
parliament:2377	idampitiye-rallage-punchi-banda-gunatilaka-kalugalla
parliament:2378	ponnambalam-kandiah
parliament:2379	velupillai-ambalavanar-kandiah
parliament:2380	kandiah-kanagaratnam
parliament:2381	charles-nissanka-kannangara
parliament:2382	christopher-william-wijekoon-kannangara
parliament:2383	don-christopher-wijesinghe-kannangara
parliament:2384	irene-wimala-mrs-kannangara
parliament:2385	richard-charles-kannangara
parliament:2386	gamini-tissa-kapukotuwa
parliament:2387	wijeratne-tikiri-banda
parliament:2388	mohamed-ibralebbe-muhamood-samsudeen-kariapper
parliament:2389	dewarakottege-merril-wijesena-kariyawasam
parliament:2390	haputhantri-gamage-albert-kariyawasam
parliament:2391	haputhantri-gamage-noel-padmasiri-kariyawasam
parliament:2392	kamal-karunanayake
parliament:2393	govindan-karunakaram
parliament:2394	amarakoon-chandra-karunaratne
parliament:2395	chandratilaka-karunaratne
parliament:2396	meneripitiya-appuhamillage-don-david-karunaratne
parliament:2397	nuwarapaksa-hewayalage-asoka-mahanama-karunaratne
parliament:2398	ratnayake-mudiyanselage-karunaratne
parliament:2399	mahamaya-samanthadewi-karunaratne
parliament:2400	thilak-karunaratne
parliament:2401	vela-thanthiri-gurunnanselage-karunaratne
parliament:2402	wanasinghe-mudiyanselage-karunaratne
